會員編號,姓名,電子郵件,地址,密碼,電話,縣市代碼
05754-41702-FG,Kristos Streight,kstreight6d@about.com,台中市潭子區北環路152號,10e60c22,0940089668,C001
84269-49816-ML,Portie Cutchie,pcutchie6e@globo.com,高雄市鼓山區鼓元街216號,9881ed76,0951342382,C006
23600-98432-ME,Sinclare Edsell,,台北市中正區衡陽路29巷2號,8da1e204,0967849628,C001
79058-02767-CP,Conny Gheraldi,cgheraldi6g@opera.com,桃園市中壢區領航南路二段137巷19號,a41c0e93,0941776465,C003
89208-74646-UK,Beryle Kenwell,bkenwell6h@over-blog.com,新北市新店區北宜路一段158號,b7252e7a,0949555022,C002
11408-81032-UR,Tomas Sutty,tsutty6i@google.es,高雄市三民區澄和路68巷5號5樓,952d9e50,0910110006,C006
32070-55528-UG,Samuele Ales0,,新北市樹林區中山路三段8號,0915945f,0917124019,C002
48873-84433-PN,Carlie Harce,charce6k@cafepress.com,台中市南屯區南屯路二段239號,68270636,0962861565,C001
32928-18158-OW,Craggy Bril,,高雄市大寮區新厝路197巷22號6樓,196b06e5,0974592867,C006
89711-56688-GG,Friederike Drysdale,fdrysdale6m@symantec.com,南投縣名間鄉名松路二段101號,0c7154f3,0910781575,C013
48389-71976-JB,Devon Magowan,dmagowan6n@fc2.com,台北市文山區和平東路四段50巷15號3樓,23087c9a,0932170905,C001
84033-80762-EQ,Codi Littrell,,台北市中正區汀州路二段267號,bb57d269,0969823418,C001
12743-00952-KO,Christel Speak,,宜蘭縣宜蘭市公園路70巷1號,cae43935,0975508530,C017
41505-42181-EF,Sibella Rushbrooke,srushbrooke6q@youku.com,新北市八里區商港路132巷20號,88a1824b,0948615248,C002
14307-87663-KB,Tammie Drynan,tdrynan6r@deviantart.com,新北市蘆洲區永樂街243號,af8a8240,0984292667,C002
08360-19442-GB,Effie Yurkov,eyurkov6s@hud.gov,基隆市安樂區武聖街130號,0ba00430,0918728970,C007
93405-51204-UW,Lexie Mallan,lmallan6t@state.gov,桃園市中壢區領航南路二段137巷19號,5ca3a423,0921560598,C003
97152-03355-IW,Georgena Bentjens,gbentjens6u@netlog.com,高雄市新興區自立二路104巷20號,d8c84b2e,0941095244,C006
79216-73157-TE,Delmar Beasant,,台中市西屯區西屯路二段28號,5da018f9,0943843449,C001
20259-47723-AC,Lyn Entwistle,lentwistle6w@omniture.com,宜蘭縣宜蘭市民族路183巷22號5樓,81cd86fb,0999690150,C017
04947-41413-JP,Stuart Lafee,,高雄市三民區大中一路31巷9號,674532b1,0911433107,C006
08909-77713-CG,Mercedes Acott,macott6y@pagesperso-orange.fr,桃園市大園區航站南路162巷11號,f2ecfb33,0944555729,C003
84340-73931-VV,Connor Heaviside,cheaviside6z@rediff.com,新竹縣竹北市勝利八街一段174號,713b0e27,0944319479,C010
04609-95151-XH,Devy Bulbrook,,桃園市中壢區環中東路103巷23號,65815896,0917639523,C003
99562-88650-YF,Leia Kernan,lkernan71@wsj.com,高雄市鳳山區文龍東路58號,47a68c0c,0974778887,C006
46560-73885-PJ,Rosaline McLae,rmclae72@dailymotion.com,台北市中正區常德街162號,1a83aa01,0974255103,C001
80179-44620-WN,Cleve Blowfelde,cblowfelde73@ustream.tv,苗栗縣三義鄉水美路91巷18號,773e0108,0947698755,C011
04666-71569-RI,Zacharias Kiffe,zkiffe74@cyberchimps.com,高雄市楠梓區高楠公路50巷9號,0d3eb767,0995314346,C006
59081-87231-VP,Denyse O'Calleran,docalleran75@ucla.edu,桃園市大園區中山北路21號,6569f185,0960452270,C003
07878-45872-CC,Cobby Cromwell,ccromwell76@desdev.cn,宜蘭縣宜蘭市公園路70巷1號,4ee2642d,0949654730,C017
12444-05174-OO,Irv Hay,ihay77@lulu.com,台中市北屯區梅川東路四段54號,9861912b,0922408210,C001
34665-62561-AU,Tani Taffarello,ttaffarello78@sciencedaily.com,新北市土城區金城路2段79巷10號2樓,042ba2f5,0956215898,C002
77877-11993-QH,Monique Canty,mcanty79@jigsy.com,台北市文山區興隆路四段86巷20號,13144572,0970204642,C001
32291-18308-YZ,Javier Kopke,jkopke7a@auda.org.au,台北市北投區振華街89巷22號,f7163d82,0939855946,C001
25754-33191-ZI,Mar McIver,,新北市林口區仁愛路二段32巷28號,0803d14c,0980933579,C002
53120-45532-KL,Arabella Fransewich,,桃園市楊梅區裕成路138巷22號,854b0c1f,0998806301,C003
36605-83052-WB,Violette Hellmore,vhellmore7d@bbc.co.uk,苗栗縣苗栗市愛國路201號,05cdb96d,0971013852,C011
53683-35977-KI,Myles Seawright,mseawright7e@nbcnews.com,台北市文山區興隆路一段127巷20號,d5b83f90,0950869249,C001
07972-83134-NM,Silvana Northeast,snortheast7f@mashable.com,台北市大安區敦化南路二段259號,76d76b61,0902071592,C001
23229-79220-TE,Annecorinne Leehane,,台南市安南區安中路四段86巷4號,e86a9715,0999310511,C001
25514-23938-IQ,Monica Fearon,mfearon7h@reverbnation.com,新竹縣竹東鎮東寧路三段72巷23號7樓,c647313a,0901466331,C010
49084-44492-OJ,Barney Chisnell,,彰化縣彰化市彰馬路178號,0322fbbf,0909483677,C012
76624-72205-CK,Jasper Sisneros,jsisneros7j@a8.net,新北市瑞芳區明燈路三段165號,9eb8ff80,0981627539,C002
12729-50170-JE,Zachariah Carlson,zcarlson7k@bigcartel.com,台中市東區力行路63號,02e4cbdc,0904277271,C001
43974-44760-QI,Warner Maddox,wmaddox7l@timesonline.co.uk,桃園市桃園區建新街75號,4474506f,0940112817,C003
30585-48726-BK,Donnie Hedlestone,dhedlestone7m@craigslist.org,台北市大安區建國南路一段168巷17號,44ac9453,0918628851,C001
16123-07017-TY,Teddi Crowthe,tcrowthe7n@europa.eu,花蓮縣新城鄉嘉新路56巷14號,88f0fa71,0995210764,C018
27723-45097-MH,Dorelia Bury,dbury7o@tinyurl.com,高雄市橋頭區仕豐路74號,11675c27,0965164197,C006
37078-56703-AF,Gussy Broadbear,gbroadbear7p@omniture.com,苗栗縣竹南鎮科專三路298號,c42fed0c,0904799536,C011
79420-11075-MY,Emlynne Palfrey,epalfrey7q@devhub.com,台北市北投區西安街二段187號,605fa81f,0914560883,C001
57504-13456-UO,Parsifal Metrick,pmetrick7r@rakuten.co.jp,桃園市龍潭區百年路192號,182c6e71,0908990610,C003
53751-57560-CN,Christopher Grieveson,,新北市三峽區大德路255號,a5e807a8,0906758154,C002
96112-42558-EA,Karlan Karby,kkarby7t@sbwire.com,新北市瑞芳區明燈路三段165號,2a65d0b7,0986899719,C002
03157-23165-UB,Flory Crumpe,fcrumpe7u@ftc.gov,基隆市仁愛區仁三路7巷16號,6c921673,0976906427,C007
51466-52850-AG,Amity Chatto,achatto7v@sakura.ne.jp,新北市板橋區合安一路186巷5號,aae1b447,0942751309,C002
57145-31023-FK,Nanine McCarthy,,彰化縣永靖鄉永福路1段130號,2ac9cdf6,0967059837,C012
66408-53777-VE,Lyndsey Megany,,高雄市大社區金龍路8號,2f10f31f,0963809661,C006
53035-99701-WG,Byram Mergue,bmergue7y@umn.edu,新北市三重區仁安街160巷6號,305e386e,0935907658,C002
45899-92796-EI,Kerr Patise,kpatise7z@jigsy.com,新北市瑞芳區明燈路三段165號,7da9877b,0917369885,C002
17649-28133-PY,Mathew Goulter,,新北市中和區興南路二段151巷16號,da71a676,0920666695,C002
49612-33852-CN,Marris Grcic,,彰化縣芳苑鄉斗苑路三合段240號,2bd95262,0952468063,C012
66976-43829-YG,Domeniga Duke,dduke82@vkontakte.ru,台南市善化區環東路二段161巷3號,f18fdb50,0946332015,C001
64852-04619-XZ,Violante Skouling,,新北市新莊區豐年街193號,a2310416,0975643838,C002
58690-31815-VY,Isidore Hussey,ihussey84@mapy.cz,新北市瑞芳區三爪子坑路70巷25號7樓,5b69a21c,0919166242,C002
62863-81239-DT,Cassie Pinkerton,cpinkerton85@upenn.edu,南投縣南投市光華十路7巷20號,5801a758,0964164167,C013
21177-40725-CF,Micki Fero,,新北市新店區寶橋路238號,bc138400,0939286314,C002
99421-80253-UI,Cybill Graddell,,宜蘭縣宜蘭市公園路70巷1號,4932dcc7,0951369023,C017
45315-50206-DK,Dorian Vizor,dvizor88@furl.net,新北市八里區商港路132巷20號,06bc1d3f,0902363900,C002
09595-95726-OV,Eddi Sedgebeer,esedgebeer89@oaic.gov.au,新北市汐止區福德一路205號,18341675,0928547361,C002
60221-67036-TD,Ken Lestrange,klestrange8a@lulu.com,新北市中和區中板路114號,c194266e,0934261150,C002
62923-29397-KX,Lacee Tanti,ltanti8b@techcrunch.com,新北市淡水區新市五路三段168號,1dbc447d,0918291148,C002
33011-52383-BA,Arel De Lasci,ade8c@1und1.de,新北市中和區圓通路103巷1號4樓,175d920a,0900109811,C002
86768-91598-FA,Trescha Jedrachowicz,tjedrachowicz8d@acquirethisname.com,台北市文山區興隆路四段86巷20號,057ec5de,0996549780,C001
37191-12203-MX,Perkin Stonner,pstonner8e@moonfruit.com,嘉義縣民雄鄉建國路二段14巷2號,f8b8628e,0981342884,C015
16545-76328-JY,Darrin Tingly,dtingly8f@goo.ne.jp,台北市文山區興隆路一段127巷20號,7ad8f5b7,0969859143,C001
32177-42200-TP,Rhodie Whife,rwhife8g@360.cn,桃園市中壢區環中東路103巷23號,4a4b3f9c,0989196619,C003
22349-47389-GY,Benn Checci,bchecci8h@usa.gov,台南市歸仁區中正北路二段252號,59c3e01f,0936795098,C001
70290-38099-GB,Janifer Bagot,jbagot8i@mac.com,新北市林口區66號,5e2f4d08,0976309546,C002
18741-72071-PP,Ermin Beeble,ebeeble8j@soundcloud.com,新北市泰山區新北大道五段89巷25號,1dc21254,0918557773,C002
62588-82624-II,Cos Fluin,cfluin8k@flickr.com,桃園市楊梅區獅一路27巷15號,653475cb,0932597747,C003
37430-29579-HD,Eveleen Bletsor,ebletsor8l@vinaora.com,桃園市中壢區復華九街76號,4b8d1089,0937551704,C003
84132-22322-QT,Paola Brydell,pbrydell8m@bloglovin.com,新北市淡水區新市二路二段87巷29號,71e71591,0973695831,C002
74330-29286-RO,Claudetta Rushe,crushe8n@about.me,桃園市平鎮區德育路二段228號,1e26a122,0939682719,C003
37445-17791-NQ,Natka Leethem,nleethem8o@mac.com,新北市三重區仁興街105巷22號3樓,e99fe6f5,0920980664,C002
58511-10548-ZU,Ailene Nesfield,anesfield8p@people.com.cn,台北市大安區辛亥路二段71號,9d51fe73,0906595722,C001
47725-34771-FJ,Stacy Pickworth,,台中市北屯區豐樂路35號,178ebaab,0911196365,C001
53086-67334-KT,Melli Brockway,mbrockway8r@ibm.com,新北市三芝區淡金路一段166巷25號4樓,ac4b1767,0986426248,C002
83308-82257-UN,Nanny Lush,nlush8s@dedecms.com,台中市豐原區鎌村路30巷23號5樓,286983d4,0957507104,C001
37274-08534-FM,Selma McMillian,smcmillian8t@csmonitor.com,台中市西區向上路一段168號,b6edc936,0905530712,C001
54004-04664-AA,Tess Bennison,tbennison8u@google.cn,高雄市左營區立大路219號,752a98d9,0970912627,C006
26822-19510-SD,Gabie Tweed,gtweed8v@yolasite.com,台中市豐原區田心路二段91巷21號,0995d662,0928785043,C001
37916-57149-GE,Freddie Cusick,fcusick8w@hatena.ne.jp,台南市仁德區二仁路一段214號,d6a208de,0908498183,C001
06432-73165-ML,Gaile Goggin,ggoggin8x@wix.com,台中市西屯區大墩十九街9巷13號1樓,55eaae12,0946171702,C001
96503-31833-CW,Skylar Jeyness,sjeyness8y@biglobe.ne.jp,台中市豐原區南陽路233號,1984b001,0988942188,C001
63985-64148-MG,Donica Bonhome,dbonhome8z@shinystat.com,苗栗縣後龍鎮造豐路77巷29號2樓,ce216540,0996715826,C011
19597-91185-CM,Diena Peetermann,,新北市中和區中安街142巷27號,9a9e53ff,0937721749,C002
79814-23626-JR,Trina Le Sarr,tle91@epa.gov,新北市烏來區34巷14號,eceb28a0,0960515645,C002
43439-94003-DW,Flynn Antony,,高雄市岡山區筧橋路131號,7faaf2c4,0916610667,C006
97655-45555-LI,Baudoin Alldridge,balldridge93@yandex.ru,桃園市中壢區新中北路二段175巷18號,d6b409e3,0983963946,C003
64418-01720-VW,Homer Dulany,,台南市安南區培安路105巷18號,d8643259,0961176439,C001
96836-09258-RI,Lisa Goodger,lgoodger95@guardian.co.uk,高雄市三民區澄和路125巷22號,0114e4df,0903101004,C006
33622-01348-PF,Fiorenze Drogan,fdrogan96@gnu.org,新北市三峽區大德路125巷16號,ef92be92,0983129579,C002
69529-07533-CV,Corine Drewett,cdrewett97@wikipedia.org,彰化縣二林鎮里斗苑路四段64號,a80601d1,0977230351,C012
94840-49457-UD,Quinn Parsons,qparsons98@blogtalkradio.com,台中市大里區工業二路74巷28號,7541d3b6,0900350539,C001
81414-81273-DK,Vivyan Ceely,vceely99@auda.org.au,新北市烏來區環山路112巷6號,5a6f2723,0910345092,C002
76930-61689-CH,Elonore Goodings,,台北市大安區新生南路一段68號,9c3aed26,0967917288,C001
12839-56537-TQ,Clement Vasiliev,cvasiliev9b@discuz.net,高雄市鳳山區鳳育路8巷4號,0ede8a32,0948395142,C006
62741-01322-HU,Terencio O'Moylan,tomoylan9c@liveinternet.ru,台北市士林區中山北路六段37號,5a926d2a,0949682485,C001
34104-15243-UX,Jeddy Vanyarkin,,新北市汐止區福德一路205號,0d3f79f3,0961079003,C002
44932-34838-RM,Wyatan Fetherston,wfetherston9e@constantcontact.com,台北市南港區忠孝東路六段249號,2da69139,0983893811,C001
91181-19412-RQ,Emmaline Rasmus,erasmus9f@techcrunch.com,台中市潭子區興華一路78巷25號,cb5a1b74,0935903240,C001
37182-54930-XC,Wesley Giorgioni,wgiorgioni9g@wikipedia.org,台中市豐原區南陽路233號,018c36fa,0937817866,C001
08613-17327-XT,Lucienne Scargle,lscargle9h@myspace.com,新北市板橋區僑中一街87巷19號6樓,05c23b2c,0945669087,C002
40507-83899-MR,Christy Franseco,cfranseco9i@phoca.cz,高雄市左營區新庄仔路70號,1b7aaf6b,0977397098,C006
70451-38048-AH,Noam Climance,nclimance9j@europa.eu,台北市大同區延平北路三段163巷7號,0f2e3532,0934078204,C001
35442-75769-PL,Catarina Donn,,台南市安平區國平路169號,0f61bd0c,0944033227,C001
83737-56117-JE,Ameline Snazle,asnazle9l@oracle.com,高雄市旗津區廟前路179號,ad654a99,0977573398,C006
07095-81281-NJ,Rebeka Worg,rworg9m@arstechnica.com,彰化縣溪湖鎮崙子腳路233號,69f615ff,0987087000,C012
77043-48851-HG,Lewes Danes,ldanes9n@umn.edu,台中市東勢區石城街2巷17號5樓,ac28384f,0941681145,C001
78224-60622-KH,Shelli Keynd,skeynd9o@narod.ru,台北市內湖區安泰街51巷16號,aabde837,0921605968,C001
83105-86631-IU,Dell Daveridge,ddaveridge9p@arstechnica.com,高雄市三民區澄和路68巷5號5樓,d5bfecd8,0930188377,C006
99358-65399-TC,Joshuah Awdry,jawdry9q@utexas.edu,高雄市仁武區水管路233號,34928db6,0962088394,C006
94525-76037-JP,Ethel Ryles,eryles9r@fastcompany.com,嘉義縣民雄鄉建國路二段93號,44a419eb,0955628378,C015
91336-36621-RB,Selie Baulcombe,sbaulcombe9s@dropbox.com,新北市新店區德正街116巷8號,c75ae9c1,0981862914,C002
82718-93677-XO,Maitilde Boxill,,桃園市楊梅區瑞溪路二段287號,1d07398a,0974491066,C003
44708-78241-DF,Jodee Caldicott,jcaldicott9u@usda.gov,新北市三重區龍門路7號,6cb7996b,0913967197,C002
23039-93032-FN,Marianna Vedmore,mvedmore9v@a8.net,新竹市東區金山街176巷22號,483b1415,0988236076,C008
35256-12529-FT,Willey Romao,wromao9w@chronoengine.com,台中市南區東興路一段217號,3038bc1c,0954461469,C001
86100-33488-WP,Enriqueta Ixor,,南投縣名間鄉名松路二段101號,3b6cfa88,0920873652,C013
64435-53100-WM,Tomasina Cotmore,tcotmore9y@amazonaws.com,南投縣竹山鎮前山路一段72號,aa3dc5d1,0956623448,C013
44699-43836-UH,Yuma Skipsey,yskipsey9z@spotify.com,雲林縣東勢鄉康安路7巷16號,7d8df638,0904282130,C014
29588-35679-RG,Nicko Corps,ncorpsa0@gmpg.org,新北市新店區文化路119號,072d0016,0972794583,C002
09003-89770-JO,Christabel Rubury,cruburya1@geocities.jp,宜蘭縣礁溪鄉礁溪路六段271號,966bf565,0978416226,C017
64815-54078-HH,Feliks Babber,fbabbera2@stanford.edu,新北市新店區如意街270號,35aa0a11,0958603288,C002
59572-41990-XY,Kaja Loxton,kloxtona3@opensource.org,桃園市桃園區正康二街191號,9e05d587,0992630966,C003
32481-61533-ZJ,Parker Tofful,ptoffula4@posterous.com,宜蘭縣宜蘭市東港路203號,f4c9da98,0931088367,C017
31587-92570-HL,Casi Gwinnett,cgwinnetta5@behance.net,台北市大安區新生南路一段68號,d76be3d6,0951353446,C001
93832-04799-ID,Saree Ellesworth,,新北市中和區中安街142巷27號,ce38b87d,0916936883,C002
59367-30821-ZQ,Silvio Iorizzi,,台北市南港區忠孝東路六段249號,af14d59e,0994234287,C001
83947-45528-ET,Leesa Flaonier,lflaoniera8@wordpress.org,台北市大安區辛亥路二段65巷12號,84dc358f,0983434122,C001
60799-92593-CX,Abba Pummell,,新北市淡水區中山北路二段92巷19號,07524f36,0904562642,C002
61600-55136-UM,Corinna Catcheside,ccatchesideaa@macromedia.com,台北市文山區木新路二段84號,e867a78d,0918226533,C001
59771-90302-OF,Cortney Gibbonson,cgibbonsonab@accuweather.com,雲林縣台西鄉崙豐路283號,acfbdd84,0982706817,C014
16880-78077-FB,Terri Farra,tfarraac@behance.net,桃園市中壢區吉林二路207號,65759d21,0990421364,C003
74415-50873-FC,Corney Curme,,新北市中和區興南路二段151巷16號,02d2bcb4,0993844927,C002
31798-95707-NR,Gothart Bamfield,gbamfieldae@yellowpages.com,台南市南區健康路二段37號,288b93c0,0907041811,C001
59122-08794-WT,Waylin Hollingdale,whollingdaleaf@about.me,台北市士林區中山北路七段27巷8號,b3466bd7,0903468772,C001
37238-52421-JJ,Judd De Leek,jdeag@xrea.com,新北市三峽區民權街86號,98ce6785,0911958595,C002
48854-01899-FN,Vanya Skullet,vskulletah@tinyurl.com,高雄市左營區孔營路77號,26edb1ac,0965420386,C006
80896-38819-DW,Jany Rudeforth,jrudeforthai@wunderground.com,新北市三峽區大學路79巷6號,beace333,0993521606,C002
29814-01459-RC,Ashbey Tomaszewski,atomaszewskiaj@answers.com,台中市南屯區東興路二段38巷22號1樓,1d338046,0998355089,C001
21815-71230-UT,Fanni Marti,fmartiak@stumbleupon.com,台北市南港區園區街175號,c1efc4d8,0924383668,C001
48497-29281-FE,Pren Bess,pbessal@qq.com,台中市南屯區南屯路二段239號,612163ea,0929874138,C001
43605-12616-YH,Elka Windress,ewindressam@marketwatch.com,台北市士林區忠誠路二段146號,322358b5,0943611459,C001
21907-75962-VB,Marty Kidstoun,,新竹縣竹東鎮東寧路三段72巷23號7樓,afd4759f,0992429740,C010
69503-12127-YD,Nickey Dimbleby,,台北市大同區南京西路143巷13號,d65b6de4,0906164029,C001
68810-07329-EU,Virgil Baumadier,vbaumadierap@google.cn,台北市大安區忠孝東路四段95號,5c79b3f0,0954749558,C001
08478-75251-OG,Lenore Messenbird,,台中市豐原區豐原大道四段251號,b9947223,0911500043,C001
17005-82030-EA,Shirleen Welds,sweldsar@wired.com,新竹縣湖口鄉中正路三段5巷1號,f9549431,0941546516,C010
42179-95059-DO,Maisie Sarvar,msarvaras@artisteer.com,屏東縣萬巒鄉萬德路191號,4fab6339,0939390663,C016
55989-39849-WO,Andrej Havick,ahavickat@nsw.gov.au,桃園市中壢區中北路二段167號,f55fc955,0954350608,C003
28932-49296-TM,Sloan Diviny,sdivinyau@ask.com,新竹市東區公道五路二段172號,e2396d90,0912637306,C008
86144-10144-CB,Itch Norquoy,inorquoyav@businessweek.com,台中市北區博館東街127巷15號5樓,fa2bc057,0954117295,C001
60973-72562-DQ,Anson Iddison,aiddisonaw@usa.gov,高雄市小港區廈莊一街133巷22號3樓,b9dcba7c,0915604303,C006
94341-60520-PF,Dov Sprosson,dsprossonax@wunderground.com,桃園市中壢區新生路131號,e40829ef,0949790562,C003
11263-86515-VU,Randal Longfield,rlongfielday@bluehost.com,台北市大安區光復南路144號,0b4e502c,0975112063,C001
60004-62976-NI,Gregorius Kislingbury,gkislingburyaz@samsung.com,台中市西屯區西屯路二段28號,65782479,0907859109,C001
77876-28498-HI,Xenos Gibbons,xgibbonsb0@artisteer.com,新北市五股區登林路240號,613a2b19,0997999837,C002
61302-06948-EH,Fleur Parres,fparresb1@imageshack.us,新北市板橋區合安一路186巷5號,eb726e1f,0979566190,C002
06757-96251-UH,Gran Sibray,gsibrayb2@wsj.com,彰化縣福興鄉福工路280號,b2fe934a,0980956626,C012
44530-75983-OD,Ingelbert Hotchkin,ihotchkinb3@mit.edu,台南市永康區東橋一路157號,83fb82fd,0907802873,C001
44865-58249-RY,Neely Broadberrie,nbroadberrieb4@gnu.org,桃園市楊梅區自立街147號,7f3ed796,0908706678,C003
36021-61205-DF,Rutger Pithcock,rpithcockb5@yellowbook.com,嘉義市西區南京路259號,6e3f614b,0903416832,C009
75716-12782-SS,Gale Croysdale,gcroysdaleb6@nih.gov,新北市五股區民義路二段208號,1895c501,0900812857,C002
11812-00461-KH,Benedetto Gozzett,bgozzettb7@github.com,新北市三峽區民權街86號,e7267cca,0958986967,C002
46681-78850-ZW,Tania Craggs,tcraggsb8@house.gov,新竹縣北埔鄉南興街19號,3ee23e14,0916413699,C010
01932-87052-KO,Leonie Cullrford,lcullrfordb9@xing.com,台北市信義區松信路131巷12號,2793226e,0952860758,C001
16046-34805-ZF,Auguste Rizon,arizonba@xing.com,苗栗縣竹南鎮科專三路298號,c7671926,0904903647,C011
34546-70516-LR,Lorin Guerrazzi,,南投縣名間鄉名松路二段101號,f00a0c9d,0964153512,C013
73699-93557-FZ,Felice Miell,fmiellbc@spiegel.de,台北市大同區南京西路143巷13號,7e89c435,0934400056,C001
86686-37462-CK,Hamish Skeech,,高雄市岡山區柳橋西路一段253號,6bde99d7,0980969695,C006
14298-02150-KH,Giordano Lorenzin,,彰化縣彰化市公園路一段287號,64964ba5,0934166445,C012
48675-07824-HJ,Harwilll Bishell,,新北市板橋區莒光路132號,a4f702de,0976263694,C002
18551-80943-YQ,Freeland Missenden,,桃園市平鎮區廣明路177巷18號,35054da5,0949223138,C003
19196-09748-DB,Waylan Springall,wspringallbh@jugem.jp,高雄市左營區榮總路103巷7號,0a750111,0940859946,C006
72233-08665-IP,Kiri Avramow,,嘉義縣民雄鄉建國路二段93號,86b21b5a,0930960098,C015
53817-13148-RK,Gregg Hawkyens,ghawkyensbj@census.gov,台中市南區福田二街125號,ce2f723f,0934183798,C001
92227-49331-QR,Reggis Pracy,,台北市信義區光復南路160號,6b41711a,0972033751,C001
12997-41076-FQ,Paula Denis,,新竹縣芎林鄉富林路三段34巷24號7樓,015a01f3,0993720871,C010
44220-00348-MB,Broderick McGilvra,bmcgilvrabm@so-net.ne.jp,基隆市信義區義七路216號,2d324c6d,0913275799,C007
93047-98331-DD,Annabella Danzey,adanzeybn@github.com,嘉義市西區世賢路二段15巷29號,99932db8,0945039338,C009
83537-35563-UF,Anthia McKeller,amckellerbo@ning.com,台北市萬華區漢中街46巷25號4樓,c2129b0c,0981256928,C001
01881-40815-VO,Faith Powley,fpowleybp@dyndns.org,台中市大里區益民路一段273號,62235a2e,0938366993,C001
67285-75317-XI,Nevins Glowacz,,台北市大安區濟南路三段57巷16號,79a8ca1a,0988727774,C001
88167-57964-PH,Adelice Isabell,,台中市烏日區環中路八段202號,a7933326,0927747519,C001
16106-36039-QS,Yulma Dombrell,ydombrellbs@dedecms.com,南投縣竹山鎮集山路三段107號,d290d19f,0955223192,C013
98921-82417-GN,Alric Darth,adarthbt@t.co,台北市萬華區富民路65巷2號,d2b87565,0902442987,C001
55265-75151-AK,Manuel Darrigoe,mdarrigoebu@hud.gov,苗栗縣竹南鎮永貞路二段97巷28號,87a7b8ac,0942295104,C011
47386-50743-FG,Kynthia Berick,,台中市豐原區豐原大道四段251號,fc1c3bf0,0904095949,C001
32622-54551-UC,Minetta Ackrill,mackrillbw@bandcamp.com,新竹縣新埔鎮田新路297號,2d8ebc18,0997749526,C010
61516-88984-DK,Maximo Bricksey,mbrickseybx@youku.com,新竹縣竹東鎮中興路四段21號,ee60232b,0949859766,C010
48419-02347-XP,Melosa Kippen,mkippenby@dion.ne.jp,桃園市平鎮區廣明路177巷18號,8aef72d4,0933013025,C003
14121-20527-OJ,Witty Ranson,wransonbz@ted.com,宜蘭縣員山鄉溫泉路194巷3號,04b19ee5,0966946295,C017
53486-73919-BQ,Rod Gowdie,,嘉義市東區大雅路二段99號,4a0959a7,0912330371,C009
21889-94615-WT,Lemuel Rignold,lrignoldc1@miibeian.gov.cn,宜蘭縣蘇澳鎮大同路273號,078febe4,0992484851,C017
87726-16941-QW,Nevsa Fields,,新北市三重區仁興街105巷22號3樓,f13bec5f,0936098000,C002
03677-09134-BC,Chance Rowthorn,crowthornc3@msn.com,高雄市三民區澄和路68巷5號5樓,2d3ed854,0953920200,C006
93224-71517-WV,Orly Ryland,orylandc4@deviantart.com,高雄市鼓山區華泰路192號,d6b52f29,0918100220,C006
76263-95145-GJ,Willabella Abramski,,桃園市蘆竹區海山路二段245號,351ba810,0988355095,C003
48314-32864-VI,Brandy Lottrington,blottringtonc6@redcross.org,桃園市中壢區吉林路32巷5號7樓,3a450be7,0936603556,C003
70624-19112-AO,Chickie Ragless,craglessc7@webmd.com,高雄市鳳山區鳳育路8巷4號,094ab049,0972008061,C006
58916-61837-QH,Freda Hollows,fhollowsc8@blogtalkradio.com,新竹縣芎林鄉五和街98號,e2a707af,0946133289,C010
89292-52335-YZ,Livy Lathleiff,llathleiffc9@nationalgeographic.com,新北市八里區觀海大道197巷2號,f30f99b3,0917605368,C002
77284-34297-YY,Koralle Heads,kheadsca@jalbum.net,高雄市小港區沿海一路44號,1b33c371,0935968726,C006
50449-80974-BZ,Theo Bowne,tbownecb@unicef.org,台中市龍井區龍山街168巷1號6樓,020103b8,0918829721,C001
08120-16183-AW,Rasia Jacquemard,rjacquemardcc@acquirethisname.com,新北市土城區廣明街127號,ad131028,0904312500,C002
68044-89277-ML,Kizzie Warman,kwarmancd@printfriendly.com,桃園市蘆竹區南華一街163巷27號,c2691e41,0967716930,C003
71364-35210-HS,Wain Cholomin,wcholomince@about.com,宜蘭縣蘇澳鎮大同路35巷26號,4f888173,0971851728,C017
37177-68797-ON,Arleen Braidman,abraidmancf@census.gov,新北市新店區安忠路62巷19號,1ba7c1c5,0906804969,C002
60308-06944-GS,Pru Durban,pdurbancg@symantec.com,新北市瑞芳區185號,2b3ee1ff,0913211321,C002
49888-39458-PF,Antone Harrold,aharroldch@miibeian.gov.cn,台中市太平區新平路三段275號,c3f013f8,0998399088,C001
60748-46813-DZ,Sim Pamphilon,spamphilonci@mlb.com,高雄市小港區博學路85巷12號,3a1420cc,0921231567,C006
16385-11286-NX,Mohandis Spurden,mspurdencj@exblog.jp,高雄市前鎮區翠亨北路195號,41a1d00c,0994432207,C006
68555-89840-GZ,Morgen Seson,msesonck@census.gov,基隆市安樂區武聖街130號,99e26f9a,0947162999,C007
72164-90254-EJ,Nalani Pirrone,npirronecl@weibo.com,屏東縣屏東市民生東路293號,3eb9b9de,0995692004,C016
67010-92988-CT,Reube Cawley,rcawleycm@yellowbook.com,台中市神岡區大洲路215號,25079f16,0969929388,C001
15776-91507-GT,Stan Barribal,sbarribalcn@microsoft.com,苗栗縣竹南鎮永貞路二段97巷28號,74b59c95,0997545049,C011
23473-41001-CD,Agnes Adamides,aadamidesco@bizjournals.com,台北市中正區衡陽路29巷2號,2e2a3736,0937884745,C001
